Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 6:10:02.444 	25.328030	27.718658	26.527125	4.105967	2.293355	13.177960	40.170542	27.808219	4.240843	1.806878	98.251599	282.935847	377.807282	2.658818	50.955277	46.385905
오후 6:10:02.980 	24.061948	39.178286	16.625969	8.228415	3.065323	25.381898	39.784187	15.992378	7.711059	2.880491	126.732673	78.095698	74.909410	1.863019	35.816319	62.320662
오후 6:10:04.109 	39.513109	41.617068	10.102373	2.672147	1.362318	42.270028	40.952061	8.479433	2.266196	1.192981	122.147117	77.626993	86.468530	1.767277	38.342574	59.890149
오후 6:10:05.463 	34.826315	42.967135	11.117975	3.565355	1.667563	27.582552	45.507004	15.551869	3.821527	1.799760	115.488722	65.012957	86.732825	1.767277	38.342574	59.890149
오후 6:10:06.284 	39.489075	47.415147	6.037733	1.279268	0.910406	32.922089	48.170841	10.987525	1.684437	0.941289	112.527473	85.626212	121.093750	2.334737	35.042019	62.623244
오후 6:10:07.217 	39.694641	48.022889	5.906209	1.317885	0.801175	31.419706	50.419015	11.269121	1.734381	0.830884	86.779661	0.000000	0.000000	3.042589	34.910467	62.046944
오후 6:10:08.494 	34.429899	51.965900	7.094781	1.277048	0.855348	29.359874	53.409027	10.669451	1.372864	0.790724	86.779661	0.000000	0.000000	4.312647	31.607691	64.079662
오후 6:10:09.391 	36.978608	45.965914	7.466952	1.420784	0.915209	35.694540	44.721482	11.208466	1.375092	0.773877	102.059801	146.393201	207.031250	3.866941	31.945044	64.188016
오후 6:10:10.285 	33.091948	46.042639	8.435782	1.860384	1.159422	35.721670	47.659411	7.289624	1.254772	0.781201	106.852174	128.940770	200.922049	5.341451	25.452475	69.206074
오후 6:10:11.586 	29.535092	47.014153	10.120508	2.520211	1.585163	32.308805	48.770401	8.501784	1.682007	1.163770	115.778894	117.013760	197.796702	6.930075	27.952241	65.117684
오후 6:10:12.138 	25.450686	50.082928	11.467930	2.972514	1.814755	27.912779	51.704543	9.055078	2.254389	1.238951	118.381503	98.221023	164.139987	3.742621	36.641919	59.615460
오후 6:10:13.469 	26.109981	42.652285	13.685126	6.332678	4.265670	30.735593	42.459979	10.964563	4.317238	2.953792	123.126253	111.099454	139.426315	9.755877	38.640141	51.603982
Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 6:10:28.076 	49.760562	40.306966	3.769505	2.903002	1.675029	52.973595	38.262812	3.262352	2.567735	1.460973	116.806084	102.199027	144.531250	3.552523	40.588083	55.859393
오후 6:10:29.534 	53.048279	35.120965	6.289447	1.899663	1.035282	52.388723	35.475138	5.494020	1.721062	0.913587	122.880000	84.595343	146.497395	4.756868	38.014154	57.228978
오후 6:10:30.687 	53.342718	35.196643	6.215910	1.874555	1.030125	52.759366	35.532186	5.369444	1.708199	0.884300	107.663551	108.347104	182.384649	5.728084	38.777157	55.494760
오후 6:10:31.311 	53.060192	35.865679	5.931385	1.717903	1.074068	51.349868	36.981373	5.150613	1.805629	0.999034	115.056180	113.818768	201.212956	5.359418	40.131202	54.509379
오후 6:10:32.608 	29.148019	44.611180	13.850362	4.314412	2.312436	28.590167	49.367639	10.219709	3.282880	1.552572	124.878049	112.402301	182.105560	7.546154	36.476433	55.977413
오후 6:10:33.242 	16.360229	53.100590	13.028020	4.109627	2.586956	18.609644	52.927562	11.815136	3.416715	2.037738	121.263158	133.118520	165.820197	8.132978	37.470935	54.396087
오후 6:10:34.386 	42.367274	42.561456	7.415690	1.893939	1.552728	43.902786	43.718593	6.224524	1.338233	0.946930	112.941176	196.247761	237.607911	8.452377	34.125504	57.422119
오후 6:10:35.615 	37.538232	49.714828	6.360313	1.242492	0.903079	38.463830	50.640067	5.626328	0.805760	0.575731	106.914153	175.143519	297.760296	7.361955	33.081523	59.556522
오후 6:10:36.162 	37.088963	50.230209	6.450519	1.191644	0.808392	38.224235	50.812233	5.816653	0.751182	0.567122	97.061611	105.124583	161.090391	7.060734	34.175061	58.764205
오후 6:10:37.485 	32.858768	53.120466	7.081605	1.508947	0.875683	33.083448	54.904522	6.237748	0.862616	0.670079	101.319261	107.992095	149.142548	3.767738	36.348416	59.883846
오후 6:10:38.742 	32.323463	47.813895	10.807601	2.302356	1.110226	33.604671	47.891500	10.268889	1.538063	1.222050	108.936170	64.186237	90.379967	2.893050	35.927463	61.179487
오후 6:10:39.224 	33.336350	51.682109	7.459032	1.663652	0.953640	36.725057	51.172518	5.675588	1.116795	0.840241	113.988868	97.753857	78.320069	1.709983	38.311687	59.978330
